"","dt_Primary","total","female_percentage","male_percentage","DrugName","female_popularity","male_popularity"
"185","Psychedelic",4.79920493808856,0.00018,0.00018,"3C-P",0.0028328611898017,0.00445103857566766
"186","Stimulant",4.79920493808856,0.00018,0.00018,"4-Fluoromethamphetamine",0.0028328611898017,0.00445103857566766
"187","Psychedelic",5.12853387405436,0.00036,0.00018,"4-MeO-MiPT",0.0056657223796034,0.00445103857566766
"188","Stimulant",4.41902258270291,0,0.00018,"alpha-PHP",0,0.00445103857566766
"189","Psychedelic",4.79920493808856,0.00018,0.00018,"bk-2C-B",0.0028328611898017,0.00445103857566766
"190","Anti-Depressant",6.12853387405436,0.00109,0.00018,"Duloxetine",0.0169971671388102,0.00445103857566766
"191","Stimulant",4.41902258270291,0,0.00018,"Pentedrone",0,0.00445103857566766
"192","Depressant",4.41902258270291,0,0.00018,"Pharms - Tiagabine",0,0.00445103857566766
"193","Stimulant",4.41902258270291,0.00018,0.00015,"2-Fluoroamphetamine",0.0028328611898017,0.00370919881305638
"194","Stimulant",3.96936229591612,0,0.00015,"3,4-Dichloromethylphenidate",0,0.00370919881305638
"195","Psychedelic",3.96936229591612,0,0.00015,"Bufotenin",0,0.00370919881305638
"196","Psychedelic",3.96936229591612,0,0.00015,"DALT",0,0.00370919881305638
"197","Stimulant",3.96936229591612,0,0.00015,"Desoxypipradrol",0,0.00370919881305638
"198","Psychedelic",2.70951129135145,0,9e-05,"25B-NBOH",0,0.00222551928783383
"199","Psychedelic",2.70951129135145,0,9e-05,"25C-NBOH",0,0.00222551928783383
"200","Psychedelic",1.70951129135145,0,6e-05,"25G-NBOMe",0,0.00148367952522255
"201","Psychedelic",1.70951129135145,0,6e-05,"2C-H",0,0.00148367952522255
"202","Psychedelic",0,0,3e-05,"25H-NBOMe",0,0.000741839762611276
"203","Psychedelic",0,0,3e-05,"25P-NBOMe",0,0.000741839762611276
"204","Psychedelic",0,0,3e-05,"2C-EF",0,0.000741839762611276
"205","Psychedelic",0,0,3e-05,"2C-IP",0,0.000741839762611276
"206","Psychedelic",0,0,3e-05,"2C-N",0,0.000741839762611276
"207","Psychedelic",0,0,3e-05,"2C-T-13",0,0.000741839762611276
"208","Psychedelic",0,0,3e-05,"2C-TFM",0,0.000741839762611276
"209","Psychedelic",-Inf,0,0,"2C-G-N",0,0
